v: 1929, parent: 77346, key: 0.055900
v: 87232, parent: 1929, key: 0.047800
v: 58690, parent: 87232, key: 0.026200
v: 50185, parent: 87232, key: 0.065000
v: 22219, parent: 50185, key: 0.022800
v: 78627, parent: 22219, key: 0.029300
v: 20416, parent: 78627, key: 0.008500
v: 17083, parent: 20416, key: 0.024900
v: 8161, parent: 17083, key: 0.056800
v: 464, parent: 8161, key: 0.034800
v: 96771, parent: 8161, key: 0.050600
v: 69657, parent: 96771, key: 0.040700
v: 80575, parent: 50185, key: 0.069900
v: 75162, parent: 77346, key: 0.075100
v: 77071, parent: 64488, key: 0.075300
v: 39555, parent: 77071, key: 0.072300
v: 57861, parent: 42126, key: 0.080400
v: 16903, parent: 1929, key: 0.081000
v: 30955, parent: 80575, key: 0.083600
v: 49375, parent: 17083, key: 0.084500
v: 86310, parent: 49375, key: 0.068500
v: 39790, parent: 86310, key: 0.053700
v: 71588, parent: 39790, key: 0.055100
v: 45105, parent: 39790, key: 0.056700
v: 46650, parent: 82570, key: 0.084600
v: 21839, parent: 46650, key: 0.017800
v: 44365, parent: 20416, key: 0.086300
v: 67989, parent: 30431, key: 0.086900
v: 86802, parent: 10692, key: 0.088500
v: 59401, parent: 86802, key: 0.008700
v: 9600, parent: 59401, key: 0.013900
v: 10652, parent: 59401, key: 0.037900
v: 50600, parent: 86802, key: 0.038300
v: 95740, parent: 50600, key: 0.008700
v: 16417, parent: 12842, key: 0.089400
v: 17537, parent: 16417, key: 0.014300
v: 31887, parent: 38677, key: 0.090300
v: 39116, parent: 31887, key: 0.074500
v: 33760, parent: 39116, key: 0.047900
v: 83119, parent: 33760, key: 0.056300
v: 38158, parent: 83119, key: 0.067500
v: 81000, parent: 38158, key: 0.057100
v: 76051, parent: 33760, key: 0.069000
v: 63716, parent: 76051, key: 0.068500
v: 10360, parent: 63716, key: 0.003100
v: 98166, parent: 31887, key: 0.090800
v: 52870, parent: 12842, key: 0.092100
v: 7545, parent: 91850, key: 0.093000
v: 17689, parent: 7545, key: 0.073800
v: 79415, parent: 17689, key: 0.070300
v: 23857, parent: 79415, key: 0.001700
v: 66065, parent: 23857, key: 0.013000
v: 2061, parent: 31887, key: 0.093600
v: 88665, parent: 2061, key: 0.059100
v: 41872, parent: 88665, key: 0.012500
v: 5208, parent: 41872, key: 0.040800
v: 60754, parent: 14643, key: 0.094400
v: 41685, parent: 17951, key: 0.095300
v: 50886, parent: 23857, key: 0.095400
v: 30527, parent: 38889, key: 0.095700
v: 82591, parent: 30527, key: 0.013200
v: 12576, parent: 30527, key: 0.041800
v: 79406, parent: 61439, key: 0.096600
v: 47091, parent: 79406, key: 0.001600
v: 57359, parent: 47091, key: 0.030600
v: 13767, parent: 2061, key: 0.098600
v: 77887, parent: 13767, key: 0.047200
v: 26871, parent: 13767, key: 0.055600
v: 21264, parent: 26871, key: 0.028900
v: 52412, parent: 26871, key: 0.032000
v: 9536, parent: 52412, key: 0.017600
v: 70946, parent: 52412, key: 0.019400
v: 47313, parent: 9536, key: 0.021900
v: 80015, parent: 77887, key: 0.072000
v: 2552, parent: 80015, key: 0.034600
v: 3622, parent: 80015, key: 0.044400
v: 63176, parent: 3622, key: 0.016100
