v: 49153, parent: 5488, key: 0.105500
v: 81104, parent: 55267, key: 0.228700
v: 58138, parent: 32547, key: 0.273400
v: 67193, parent: 58138, key: 0.064800
v: 57294, parent: 58138, key: 0.108800
v: 65198, parent: 58138, key: 0.256500
v: 43526, parent: 65198, key: 0.081200
v: 90459, parent: 43526, key: 0.274900
v: 59511, parent: 45442, key: 0.283000
v: 65324, parent: 6022, key: 0.291200
v: 42812, parent: 99243, key: 0.297100
v: 94523, parent: 36474, key: 0.307300
v: 62558, parent: 42260, key: 0.311800
v: 29154, parent: 62558, key: 0.103500
v: 67318, parent: 62558, key: 0.142400
v: 64106, parent: 67318, key: 0.066600
v: 77455, parent: 64106, key: 0.006600
v: 52015, parent: 77455, key: 0.147100
v: 35037, parent: 52015, key: 0.008100
v: 91454, parent: 52015, key: 0.176300
v: 4606, parent: 91454, key: 0.020300
v: 2376, parent: 4606, key: 0.010200
v: 88619, parent: 67318, key: 0.199000
v: 21540, parent: 4606, key: 0.204000
v: 77017, parent: 21540, key: 0.125800
v: 60114, parent: 88619, key: 0.206000
v: 21156, parent: 60114, key: 0.266000
v: 63908, parent: 21156, key: 0.013600
v: 9277, parent: 21156, key: 0.101300
v: 58571, parent: 9277, key: 0.093700
v: 11253, parent: 58571, key: 0.061900
v: 55526, parent: 11253, key: 0.014300
v: 84415, parent: 55526, key: 0.040800
v: 24014, parent: 55526, key: 0.062600
v: 66446, parent: 63908, key: 0.166300
v: 84362, parent: 84415, key: 0.215200
v: 55846, parent: 84362, key: 0.240200
v: 39346, parent: 9277, key: 0.256600
v: 6595, parent: 39346, key: 0.112700
v: 85117, parent: 6595, key: 0.256200
v: 2883, parent: 85117, key: 0.184500
v: 11995, parent: 85117, key: 0.206600
v: 10666, parent: 58571, key: 0.258800
v: 98594, parent: 66446, key: 0.260000
v: 96896, parent: 10666, key: 0.271100
v: 40165, parent: 96896, key: 0.207000
v: 12545, parent: 96896, key: 0.226700
v: 40407, parent: 12545, key: 0.252200
v: 21341, parent: 12545, key: 0.269700
v: 76197, parent: 21341, key: 0.019800
v: 13121, parent: 11995, key: 0.275100
v: 65855, parent: 13121, key: 0.167600
